PassengerId,Survived,Pclass,Name,Sex,Age,Cabin,Cabin location,Can swim,Survival Probability,Survive
908,0,2,"Keane, Mr. Daniel",male,35.0,A33,Lower,1,0.7,0
1191,0,3,"Johansson, Mr. Nils",male,29.0,B67,Middle,1,0.9999999999999999,1
939,0,3,"Shaughnessy, Mr. Patrick",male,77.0,D62,Upper,0,0.65,0
1007,0,3,"Chronopoulos, Mr. Demetrios",male,18.0,B51,Upper,1,1.2000000000000002,1
1295,0,1,"Carrau, Mr. Jose Pedro",male,17.0,A92,Middle,0,0.7000000000000001,0
1140,1,2,"Hold, Mrs. Stephen (Annie Margaret Hill)",female,29.0,A68,Upper,1,1.2000000000000002,1
1152,0,3,"de Messemaeker, Mr. Guillaume Joseph",male,36.5,E4,Lower,0,0.4,0
1016,0,3,"Kennedy, Mr. John",male,8.0,C73,Lower,1,0.44999999999999996,0
1028,0,3,"Zakarian, Mr. Mapriededer",male,26.5,D86,Middle,1,0.9999999999999999,1
1145,0,3,"Salander, Mr. Karl Johan",male,24.0,C64,Middle,0,0.7000000000000001,0
1248,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,C101,Lower,0,0.4,0
1199,0,3,"Aks, Master. Philip Frank",male,0.83,A41,Upper,0,0.65,0
902,0,3,"Ilieff, Mr. Ylio",male,40.0,C73,Middle,1,0.9999999999999999,1
1170,0,2,"Ware, Mr. John James",male,30.0,E65,Upper,0,0.9,1
1129,0,3,"Baccos, Mr. Raffull",male,20.0,A82,Upper,0,0.9,1
1287,1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",female,18.0,C31,Middle,0,0.7000000000000001,0
1042,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23.0,C54,Upper,0,0.9,1
1010,0,1,"Beattie, Mr. Thomson",male,36.0,C6,Lower,0,0.4,0
952,0,3,"Dika, Mr. Mirko",male,17.0,C17,Upper,1,1.2000000000000002,1
1100,1,1,"Rosenbaum, Miss. Edith Louise",female,33.0,A11,Middle,0,0.7000000000000001,0
1197,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64.0,B26,Upper,1,1.2000000000000002,1
1301,1,3,"Peacock, Miss. Treasteall",female,3.0,E85,Lower,0,0.15000000000000005,0
1169,0,2,"Faunthorpe, Mr. Harry",male,40.0,A35,Upper,0,0.9,1
985,0,3,"Guest, Mr. Robert",male,43.0,A35,Lower,1,0.7,0
1156,0,2,"Portaluppi, Mr. Emilio Ilario Giuseppe",male,30.0,B80,Middle,0,0.7000000000000001,0
1002,0,2,"Stanton, Mr. Samuel Ward",male,41.0,B16,Upper,1,1.2000000000000002,1
1049,1,3,"Lundin, Miss. Olga Elida",female,23.0,C57,Lower,0,0.4,0
948,0,3,"Cor, Mr. Bartol",male,35.0,D9,Middle,1,0.9999999999999999,1
1102,0,3,"Andersen, Mr. Albert Karvin",male,32.0,A28,Middle,0,0.7000000000000001,0
1101,0,3,"Delalic, Mr. Redjo",male,25.0,B49,Lower,1,0.7,0
1291,0,3,"Conlon, Mr. Thomas Henry",male,31.0,A93,Lower,0,0.4,0
1195,0,3,"Pokrnic, Mr. Tome",male,24.0,A28,Lower,0,0.4,0
1157,0,3,"Lyntakoff, Mr. Stanko",male,24.0,E77,Middle,0,0.7000000000000001,0
1174,1,3,"Fleming, Miss. Honora",female,57.0,B36,Lower,0,0.4,0
1092,1,3,"Murphy, Miss. Nora",female,34.0,B55,Lower,1,0.7,0
1114,1,2,"Cook, Mrs. (Selena Rogers)",female,22.0,F33,Upper,0,0.9,1
1237,1,3,"Abelseth, Miss. Karen Marie",female,16.0,A73,Lower,1,0.7,0
972,0,3,"Boulos, Master. Akar",male,6.0,E100,Lower,0,0.15000000000000005,0
1296,0,1,"Frauenthal, Mr. Isaac Gerald",male,43.0,D40,Upper,0,0.9,1
944,1,2,"Hocking, Miss. Ellen Nellie""""",female,20.0,C35,Middle,1,0.9999999999999999,1
1075,0,3,"Lane, Mr. Patrick",male,1.0,B8,Lower,1,0.44999999999999996,0
947,0,3,"Rice, Master. Albert",male,10.0,D86,Middle,1,0.9999999999999999,1
1163,0,3,"Fox, Mr. Patrick",male,9.0,A50,Middle,0,0.45000000000000007,0
905,0,2,"Howard, Mr. Benjamin",male,63.0,A9,Middle,0,0.7000000000000001,0
1135,0,3,"Hyman, Mr. Abraham",male,20.0,D8,Middle,0,0.7000000000000001,0
920,0,1,"Brady, Mr. John Bertram",male,41.0,A21,Upper,0,0.9,1
1031,0,3,"Goodwin, Mr. Charles Frederick",male,40.0,B46,Middle,1,0.9999999999999999,1
1276,0,2,"Wheeler, Mr. Edwin Frederick""""",male,49.0,D54,Middle,0,0.7000000000000001,0
915,0,1,"Williams, Mr. Richard Norris II",male,21.0,B78,Upper,0,0.9,1
1093,0,3,"Danbom, Master. Gilbert Sigvard Emanuel",male,0.33,E98,Lower,0,0.15000000000000005,0
1009,1,3,"Sandstrom, Miss. Beatrice Irene",female,1.0,G6,Middle,0,0.45000000000000007,0
975,0,3,"Demetri, Mr. Marinko",male,40.0,D69,Middle,0,0.7000000000000001,0
1077,0,2,"Maybery, Mr. Frank Hubert",male,40.0,E20,Upper,1,1.2000000000000002,1
1222,1,2,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",female,48.0,D77,Middle,0,0.7000000000000001,0
1288,0,3,"Colbert, Mr. Patrick",male,24.0,B59,Lower,0,0.4,0
1154,1,2,"Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)""",female,29.0,C83,Middle,1,0.9999999999999999,1
1171,0,2,"Oxenham, Mr. Percy Thomas",male,22.0,C80,Middle,0,0.7000000000000001,0
1252,0,3,"Sage, Master. William Henry",male,14.5,D48,Middle,0,0.7000000000000001,0
954,0,3,"Bjorklund, Mr. Ernst Herbert",male,18.0,C26,Middle,0,0.7000000000000001,0
1185,0,1,"Dodge, Dr. Washington",male,53.0,A34,Middle,0,0.7000000000000001,0
1054,1,2,"Wright, Miss. Marion",female,26.0,E18,Middle,1,0.9999999999999999,1
1162,0,1,"McCaffry, Mr. Thomas Francis",male,46.0,C6,Lower,0,0.4,0
1103,0,3,"Finoli, Mr. Luigi",male,61.0,C30,Lower,1,0.7,0
1013,0,3,"Kiernan, Mr. John",male,55.0,B27,Lower,0,0.4,0
938,0,1,"Chevre, Mr. Paul Romaine",male,45.0,A9,Lower,1,0.7,0
1053,0,3,"Touma, Master. Georges Youssef",male,7.0,D11,Upper,0,0.65,0
1105,1,2,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",female,60.0,D56,Upper,1,1.2000000000000002,1
976,0,2,"Lamb, Mr. John Joseph",male,10.0,E3,Lower,0,0.4,0
1060,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,20.0,D15,Upper,1,1.2000000000000002,1
960,0,1,"Tucker, Mr. Gilbert Milligan Jr",male,31.0,C53,Middle,0,0.7000000000000001,0
942,0,1,"Smith, Mr. Lucien Philip",male,24.0,C31,Middle,1,0.9999999999999999,1
965,0,1,"Ovies y Rodriguez, Mr. Servando",male,28.5,D43,Lower,0,0.4,0
1120,0,3,"Everett, Mr. Thomas James",male,40.5,C96,Middle,1,0.9999999999999999,1
1148,0,3,"Mahon, Mr. John",male,4.0,C47,Lower,0,0.15000000000000005,0
998,0,3,"Buckley, Mr. Daniel",male,21.0,D71,Middle,1,0.9999999999999999,1
1176,1,3,"Rosblom, Miss. Salli Helena",female,2.0,A92,Upper,0,0.65,0
956,0,1,"Ryerson, Master. John Borie",male,13.0,B57,Upper,1,1.2000000000000002,1
899,0,2,"Caldwell, Mr. Albert Francis",male,26.0,E84,Upper,0,0.9,1
1223,0,1,"Dulles, Mr. William Crothers",male,39.0,A18,Lower,0,0.4,0
1041,0,2,"Lahtinen, Rev. William",male,30.0,B60,Middle,1,0.9999999999999999,1
1083,0,1,"Salomon, Mr. Abraham L",male,13.0,D52,Middle,0,0.7000000000000001,0
1303,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,C78,Middle,1,0.9999999999999999,1
1226,0,3,"Cor, Mr. Ivan",male,27.0,A23,Middle,0,0.7000000000000001,0
897,0,3,"Svensson, Mr. Johan Cervin",male,14.0,E70,Lower,1,0.7,0
1062,0,3,"Lithman, Mr. Simon",male,24.0,C4,Upper,0,0.9,1
1240,0,2,"Giles, Mr. Ralph",male,24.0,E73,Upper,0,0.9,1
1224,0,3,"Thomas, Mr. Tannous",male,23.0,E45,Middle,0,0.7000000000000001,0
1211,0,2,"Jefferys, Mr. Ernest Wilfred",male,22.0,A56,Middle,0,0.7000000000000001,0
1257,1,3,"Sage, Mrs. John (Annie Bullen)",female,52.0,A67,Middle,1,0.9999999999999999,1
1104,0,2,"Deacon, Mr. Percy William",male,17.0,D14,Upper,1,1.2000000000000002,1
1071,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,E45,Lower,1,0.7,0
1292,1,1,"Bonnell, Miss. Caroline",female,30.0,C7,Middle,1,0.9999999999999999,1
1113,0,3,"Reynolds, Mr. Harold J",male,21.0,C13,Upper,0,0.9,1
1078,1,2,"Phillips, Miss. Alice Frances Louisa",female,21.0,B83,Middle,0,0.7000000000000001,0
1029,0,2,"Schmidt, Mr. August",male,26.0,B26,Upper,0,0.9,1
987,0,3,"Tenglin, Mr. Gunnar Isidor",male,25.0,B100,Lower,0,0.4,0
1087,0,3,"Karlsson, Mr. Julius Konrad Eugen",male,33.0,E39,Middle,0,0.7000000000000001,0
1008,0,3,"Thomas, Mr. John",male,51.0,A49,Middle,1,0.9999999999999999,1
951,1,1,"Chaudanson, Miss. Victorine",female,36.0,B61,Lower,0,0.4,0
896,1,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",female,22.0,D75,Upper,1,1.2000000000000002,1
1127,0,3,"Vendel, Mr. Olof Edvin",male,20.0,B90,Middle,0,0.7000000000000001,0
1250,0,3,"O'Keefe, Mr. Patrick",male,66.0,A5,Middle,0,0.7000000000000001,0
1108,1,3,"Mahon, Miss. Bridget Delia",female,64.0,E6,Middle,0,0.7000000000000001,0
1267,1,1,"Bowen, Miss. Grace Scott",female,45.0,B58,Lower,1,0.7,0
903,0,1,"Jones, Mr. Charles Cresson",male,46.0,D92,Upper,0,0.9,1
953,0,2,"McCrae, Mr. Arthur Gordon",male,32.0,A75,Upper,1,1.2000000000000002,1
1232,0,2,"Fillbrook, Mr. Joseph Charles",male,18.0,C95,Lower,1,0.7,0
1137,0,1,"Kenyon, Mr. Frederick R",male,41.0,D21,Lower,0,0.4,0
963,0,3,"Minkoff, Mr. Lazar",male,21.0,B91,Upper,0,0.9,1
1058,0,1,"Brandeis, Mr. Emil",male,48.0,B10,Middle,0,0.7000000000000001,0
1136,0,3,"Johnston, Master. William Arthur Willie""""",male,48.0,D2,Lower,1,0.7,0
950,0,3,"Davison, Mr. Thomas Henry",male,38.0,D14,Upper,0,0.9,1
1061,1,3,"Hellstrom, Miss. Hilda Maria",female,22.0,B54,Middle,0,0.7000000000000001,0
1272,0,3,"O'Connor, Mr. Patrick",male,54.0,E79,Lower,0,0.4,0
1236,0,3,"van Billiard, Master. James William",male,68.0,A40,Middle,1,0.9999999999999999,1
1161,0,3,"Pokrnic, Mr. Mate",male,17.0,E10,Middle,1,0.9999999999999999,1
1245,0,2,"Herman, Mr. Samuel",male,49.0,D43,Middle,0,0.7000000000000001,0
1128,0,1,"Warren, Mr. Frank Manley",male,64.0,D37,Lower,0,0.4,0
900,1,3,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female,18.0,B99,Middle,0,0.7000000000000001,0
1017,1,3,"Cribb, Miss. Laura Alice",female,17.0,B70,Upper,0,0.9,1
1118,0,3,"Asplund, Mr. Johan Charles",male,23.0,B94,Middle,1,0.9999999999999999,1
934,0,3,"Goldsmith, Mr. Nathan",male,41.0,A9,Middle,0,0.7000000000000001,0
1160,1,3,"Howard, Miss. May Elizabeth",female,45.0,B82,Upper,1,1.2000000000000002,1
1166,0,3,"Saade, Mr. Jean Nassr",male,49.0,C61,Upper,0,0.9,1
959,0,1,"Moore, Mr. Clarence Bloomfield",male,47.0,A92,Middle,0,0.7000000000000001,0
1284,0,3,"Abbott, Master. Eugene Joseph",male,13.0,B93,Middle,1,0.9999999999999999,1
977,0,3,"Khalil, Mr. Betros",male,17.0,C81,Middle,0,0.7000000000000001,0
1052,1,3,"Smyth, Miss. Julia",female,55.0,D16,Lower,0,0.4,0
1260,1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,A42,Middle,0,0.7000000000000001,0
924,1,3,"Dean, Mrs. Bertram (Eva Georgetta Light)",female,33.0,E51,Middle,0,0.7000000000000001,0
1110,1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,50.0,C80,Lower,1,0.7,0
1097,0,1,"Omont, Mr. Alfred Fernand",male,12.0,B29,Upper,0,0.9,1
1205,1,3,"Carr, Miss. Jeannie",female,37.0,D33,Middle,0,0.7000000000000001,0
918,1,1,"Ostby, Miss. Helene Ragnhild",female,22.0,B36,Upper,1,1.2000000000000002,1
1235,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,B51,Upper,0,0.9,1
1196,1,3,"McCarthy, Miss. Catherine Katie""""",female,75.0,D66,Lower,1,0.44999999999999996,0
1142,1,2,"West, Miss. Barbara J",female,0.92,B86,Middle,0,0.45000000000000007,0
933,0,1,"Franklin, Mr. Thomas Parham",male,14.0,D34,Upper,0,0.9,1
1290,0,3,"Larsson-Rondberg, Mr. Edvard A",male,22.0,B41,Lower,0,0.4,0
1261,0,2,"Pallas y Castello, Mr. Emilio",male,29.0,E20,Middle,1,0.9999999999999999,1
1159,0,3,"Warren, Mr. Charles William",male,15.0,C13,Middle,1,0.9999999999999999,1
1119,1,3,"McNeill, Miss. Bridget",female,26.0,B21,Upper,0,0.9,1
966,1,1,"Geiger, Miss. Amalie",female,35.0,C130,Lower,1,0.7,0
937,0,3,"Peltomaki, Mr. Nikolai Johannes",male,25.0,E84,Upper,0,0.9,1
1204,0,3,"Sadowitz, Mr. Harry",male,28.0,E35,Lower,0,0.4,0
955,1,3,"Bradley, Miss. Bridget Delia",female,22.0,E51,Middle,0,0.7000000000000001,0
1305,0,3,"Spector, Mr. Woolf",male,49.0,C41,Middle,0,0.7000000000000001,0
901,0,3,"Davies, Mr. John Samuel",male,21.0,E81,Lower,0,0.4,0
1225,1,3,"Nakid, Mrs. Said (Waika Mary"" Mowad)""",female,19.0,E67,Middle,0,0.7000000000000001,0
1036,0,1,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",male,42.0,E8,Upper,0,0.9,1
1293,0,2,"Gale, Mr. Harry",male,38.0,C83,Lower,0,0.4,0
1131,1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,C86,Upper,1,1.2000000000000002,1
1266,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54.0,A34,Middle,1,0.9999999999999999,1
936,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45.0,D19,Upper,0,0.9,1
1220,0,2,"Clarke, Mr. Charles Valentine",male,29.0,D92,Lower,0,0.4,0
1021,0,3,"Petersen, Mr. Marius",male,24.0,D54,Upper,0,0.9,1
989,0,3,"Makinen, Mr. Kalle Edvard",male,29.0,A38,Upper,0,0.9,1
1297,0,2,"Nourney, Mr. Alfred (Baron von Drachstedt"")""",male,20.0,D38,Lower,1,0.7,0
1280,0,3,"Canavan, Mr. Patrick",male,21.0,A91,Lower,1,0.7,0
1014,1,1,"Schabert, Mrs. Paul (Emma Mock)",female,35.0,C28,Lower,1,0.7,0
1274,1,3,"Risien, Mrs. Samuel (Emma)",female,37.0,D30,Upper,0,0.9,1
970,0,2,"Aldworth, Mr. Charles Augustus",male,30.0,E51,Upper,0,0.9,1
1070,1,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36.0,F4,Lower,1,0.7,0
910,1,3,"Ilmakangas, Miss. Ida Livija",female,27.0,A31,Lower,1,0.7,0
1209,0,2,"Rogers, Mr. Reginald Harry",male,19.0,C46,Lower,0,0.4,0
1046,0,3,"Asplund, Master. Filip Oscar",male,13.0,C58,Upper,1,1.2000000000000002,1
926,0,1,"Mock, Mr. Philipp Edmund",male,30.0,C78,Lower,1,0.7,0
925,1,3,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",female,79.0,C44,Upper,0,0.65,0
1256,1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,25.0,E50,Upper,0,0.9,1
1065,0,3,"Torfa, Mr. Assad",male,34.0,E22,Upper,0,0.9,1
1012,1,2,"Watt, Miss. Bertha J",female,12.0,C52,Upper,1,1.2000000000000002,1
1121,0,2,"Hocking, Mr. Samuel James Metcalfe",male,36.0,E18,Middle,1,0.9999999999999999,1
1299,0,1,"Widener, Mr. George Dunton",male,50.0,C80,Lower,1,0.7,0
1034,0,1,"Ryerson, Mr. Arthur Larned",male,61.0,B57,Lower,0,0.4,0
1059,0,3,"Ford, Mr. Edward Watson",male,18.0,A60,Middle,0,0.7000000000000001,0
943,0,2,"Pulbaum, Mr. Franz",male,27.0,B37,Middle,1,0.9999999999999999,1
1201,1,3,"Hansen, Mrs. Claus Peter (Jennie L Howard)",female,45.0,C25,Middle,0,0.7000000000000001,0
1085,0,2,"Lingane, Mr. John",male,61.0,A10,Upper,0,0.9,1
949,0,3,"Abelseth, Mr. Olaus Jorgensen",male,25.0,F,Upper,1,1.2000000000000002,1
1244,0,2,"Dibden, Mr. William",male,18.0,D4,Lower,0,0.4,0
1032,1,3,"Goodwin, Miss. Jessie Allis",female,10.0,C88,Middle,1,0.9999999999999999,1
1172,1,3,"Oreskovic, Miss. Jelka",female,23.0,B18,Middle,1,0.9999999999999999,1
1038,0,1,"Hilliard, Mr. Herbert Henry",male,45.0,E46,Upper,0,0.9,1
1023,0,1,"Gracie, Col. Archibald IV",male,53.0,C51,Upper,0,0.9,1
1207,1,3,"Hagardon, Miss. Kate",female,17.0,A97,Lower,0,0.4,0
1219,0,1,"Rosenshine, Mr. George (Mr George Thorne"")""",male,46.0,D82,Upper,1,1.2000000000000002,1
1150,1,2,"Bentham, Miss. Lilian W",female,19.0,B93,Middle,0,0.7000000000000001,0
912,0,1,"Rothschild, Mr. Martin",male,55.0,D87,Lower,0,0.4,0
1262,0,2,"Giles, Mr. Edgar",male,21.0,C38,Upper,0,0.9,1
1239,1,3,"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",female,38.0,A64,Upper,0,0.9,1
1247,0,1,"Julian, Mr. Henry Forbes",male,50.0,E60,Upper,1,1.2000000000000002,1
971,1,3,"Doyle, Miss. Elizabeth",female,24.0,E80,Upper,0,0.9,1
1024,1,3,"Lefebre, Mrs. Frank (Frances)",female,34.0,E8,Middle,1,0.9999999999999999,1
1215,0,1,"Rowe, Mr. Alfred G",male,33.0,A2,Lower,0,0.4,0
1096,0,2,"Andrew, Mr. Frank Thomas",male,25.0,D74,Upper,0,0.9,1
997,0,3,"Holthen, Mr. Johan Martin",male,28.0,C41,Middle,1,0.9999999999999999,1
1269,0,2,"Cotterill, Mr. Henry Harry""""",male,21.0,D71,Middle,0,0.7000000000000001,0
1133,1,2,"Christy, Mrs. (Alice Frances)",female,45.0,D81,Upper,1,1.2000000000000002,1
1283,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,D28,Lower,0,0.4,0
932,0,3,"Karun, Mr. Franz",male,39.0,E86,Middle,0,0.7000000000000001,0
1189,0,3,"Samaan, Mr. Hanna",male,9.0,B53,Lower,0,0.15000000000000005,0
999,0,3,"Ryan, Mr. Edward",male,12.0,B21,Lower,0,0.4,0
1202,0,3,"Cacic, Mr. Jego Grga",male,18.0,A43,Lower,0,0.4,0
1181,0,3,"Ford, Mr. Arthur",male,1.0,B15,Upper,1,0.9500000000000001,1
894,0,2,"Myles, Mr. Thomas Francis",male,62.0,D49,Lower,1,0.7,0
1184,0,3,"Nasr, Mr. Mustafa",male,45.0,D87,Lower,0,0.4,0
1067,1,2,"Brown, Miss. Edith Eileen",female,15.0,E56,Upper,0,0.9,1
1227,0,1,"Maguire, Mr. John Edward",male,30.0,C106,Lower,0,0.4,0
992,1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,43.0,C116,Upper,0,0.9,1
1294,1,1,"Gibson, Miss. Dorothy Winifred",female,22.0,E11,Lower,1,0.7,0
1011,1,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29.0,E95,Upper,1,1.2000000000000002,1
1134,0,1,"Spedden, Mr. Frederic Oakley",male,45.0,E34,Middle,0,0.7000000000000001,0
935,1,2,"Corbett, Mrs. Walter H (Irene Colvin)",female,30.0,D30,Middle,1,0.9999999999999999,1
1273,0,3,"Foley, Mr. Joseph",male,26.0,D77,Upper,1,1.2000000000000002,1
974,0,1,"Case, Mr. Howard Brown",male,49.0,A86,Lower,1,0.7,0
995,0,3,"Johansson Palmquist, Mr. Oskar Leander",male,26.0,E41,Lower,0,0.4,0
1006,1,1,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,63.0,C55,Middle,0,0.7000000000000001,0
1130,1,2,"Hiltunen, Miss. Marta",female,18.0,A7,Lower,1,0.7,0
964,1,3,"Nieminen, Miss. Manta Josefina",female,29.0,E67,Lower,0,0.4,0
1018,0,3,"Brobeck, Mr. Karl Rudolf",male,22.0,E10,Lower,0,0.4,0
1069,0,1,"Stengel, Mr. Charles Emil Henry",male,54.0,C116,Upper,0,0.9,1
1182,0,1,"Rheims, Mr. George Alexander Lucien",male,53.0,E66,Lower,0,0.4,0
1251,1,3,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",female,30.0,E92,Lower,0,0.4,0
978,1,3,"Barry, Miss. Julia",female,27.0,E28,Middle,0,0.7000000000000001,0
1306,1,1,"Oliva y Ocana, Dona. Fermina",female,39.0,C105,Middle,0,0.7000000000000001,0
